DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241509057,4/16/2024 0:00,4/15/2024 0:00,1700,15,N Hollywood,1526,2,625,OTHER ASSAULT,0522 1258 2002 0910,54,F,B,801,MTA BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,,,,6400    LANKERSHIM                   BL,,34.1868,-118.3878
241911783,9/18/2024 0:00,8/18/2024 0:00,1149,19,Mission,1954,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,48,F,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,10300 N  SEPULVEDA                    BL,,34.2573,-118.4673
241209638,4/7/2024 0:00,4/7/2024 0:00,1050,12,77th Street,1231,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1309 1822 0919 0444 0421 0432,47,M,W,101,STREET,511,VERBAL THREAT,AO,Adult Other,930,,,,4200 W  58TH                         PL,,33.988,-118.3477
240308553,3/22/2024 0:00,3/20/2024 0:00,1700,3,Southwest,315,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 1822,97,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,2000 W  ADAMS                        BL,,34.0327,-118.309
242014226,11/26/2024 0:00,11/26/2024 0:00,120,20,Olympic,2042,2,888,TRESPASSING,1822 1501,31,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,800 S  ST ANDREWS                   PL,,34.058,-118.3112
241512680,8/9/2024 0:00,8/9/2024 0:00,1500,15,N Hollywood,1596,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822,41,M,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,3800    VINELAND                     AV,,34.1377,-118.3684
241708926,4/29/2024 0:00,4/29/2024 0:00,115,17,Devonshire,1794,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1259 1251 0202 1822 0443,14,M,H,106,TUNNEL,207,OTHER KNIFE,IC,Invest Cont,230,,,,8700    WILBUR                       AV,,34.2283,-118.5448
240912440,10/19/2024 0:00,10/19/2024 0:00,1000,9,Van Nuys,932,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,DELANO                       ST,LEMONA                       AV,34.1826,-118.4596
240706814,3/7/2024 0:00,3/5/2024 0:00,1800,7,Wilshire,705,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0903 1536 2054 1822 1906,27,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,800 N  FORMOSA                      AV,,34.0853,-118.3462
240107602,2/20/2024 0:00,2/20/2024 0:00,1850,1,Central,182,1,330,BURGLARY FROM VEHICLE,0344 1307,31,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,12TH                         ST,OLIVE,34.0394,-118.2623
241406044,2/14/2024 0:00,2/13/2024 0:00,700,14,Pacific,1489,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,63,M,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,341,,,,9500    LA CIENEGA                   BL,,33.95,-118.3701
241304905,1/20/2024 0:00,1/20/2024 0:00,1930,13,Newton,1367,1,210,ROBBERY,0449 0336 1822 0352 0344,41,F,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,57TH                         ST,HOOPER                       AV,33.9993,-118.2432
240510017,7/9/2024 0:00,7/8/2024 0:00,1800,5,Harbor,525,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,G                            ST,BROAD                        AV,33.7739,-118.2678
240608490,4/13/2024 0:00,4/12/2024 0:00,1925,6,Hollywood,663,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1501,33,F,A,102,SIDEWALK,,,IC,Invest Cont,440,,,,WILLOUGHBY                   AV,N  LAS PALMAS,34.0871,-118.3363
240119704,10/9/2024 0:00,10/9/2024 0:00,700,1,Central,119,2,888,TRESPASSING,0910 2004,0,M,O,900,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
242006911,3/7/2024 0:00,3/7/2024 0:00,2230,20,Olympic,2042,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1814 1206 0329 0913 1268 2000,24,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,3700    SAN MARINO                   ST,,34.0564,-118.3131
240704851,1/21/2024 0:00,1/20/2024 0:00,2000,7,Wilshire,753,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5800    PACKARD                      ST,,34.0529,-118.3638
240909057,5/11/2024 0:00,5/11/2024 0:00,1100,9,Van Nuys,989,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0352 1822,30,M,W,717,HEALTH SPA/GYM,,,IC,Invest Cont,341,,,,13700    VENTURA                      BL,,34.148,-118.4312
240808352,5/14/2024 0:00,5/13/2024 0:00,1109,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 1420,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
240307691,3/12/2024 0:00,3/12/2024 0:00,1550,3,Southwest,319,2,624,BATTERY - SIMPLE ASSAULT,0305 0342 0417 0429 1822 1259 1251 0416 0216,14,M,H,729,SPECIALTY SCHOOL/OTHER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2300    FIGUEROA                     WY,,34.0311,-118.275
241804168,1/3/2024 0:00,1/3/2024 0:00,2140,18,Southeast,1849,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,109TH,WILMINGTON,33.9327,-118.2351
242104498,1/13/2024 0:00,1/11/2024 0:00,2200,21,Topanga,2136,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7300    ALABAMA                      AV,,34.2028,-118.599
240613564,11/24/2024 0:00,8/1/2024 0:00,1300,6,Hollywood,663,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1501,20,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,6600    SANTA MONICA                 BL,,34.0907,-118.3332
240811794,10/21/2024 0:00,10/18/2024 0:00,1700,8,West LA,849,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,42,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,331,,,,900 S  BEDFORD                      ST,,34.0609,-118.3803
241105164,1/28/2024 0:00,1/28/2024 0:00,1100,11,Northeast,1148,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,28,M,W,101,STREET,,,IC,Invest Cont,331,,,,700    TERRACE 49,,34.1104,-118.2098
240410121,9/14/2024 0:00,9/11/2024 0:00,1345,4,Hollenbeck,477,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,57,F,H,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,440,,,,1000 S  SOTO                         ST,,34.0323,-118.217
240504085,1/1/2024 0:00,1/1/2024 0:00,1259,5,Harbor,569,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0,X,X,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,740,,,,2500    SIGNAL                       ST,,33.7203,-118.2723
240713147,12/9/2024 0:00,12/5/2024 0:00,1618,7,Wilshire,721,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,23,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,8500    BEVERLY                      BL,,34.0761,-118.3766
241704247,1/7/2024 0:00,1/7/2024 0:00,115,17,Devonshire,1758,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,16300    MAYALL                       ST,,34.2538,-118.4872
240304656,1/13/2024 0:00,1/13/2024 0:00,1500,3,Southwest,379,2,901,VIOLATION OF RESTRAINING ORDER,0360 0554 0913 2004 2021 2038,39,F,B,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901,,,,3900 S  BUDLONG                      AV,,34.0155,-118.2959
240408446,6/27/2024 0:00,6/22/2024 0:00,1330,4,Hollenbeck,422,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394,31,M,C,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,2200    SICHEL                       ST,,34.0702,-118.213
241911740,9/18/2024 0:00,9/17/2024 0:00,1200,19,Mission,1984,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420,,,,WILLIS                       ST,PARTHENIA                    ST,34.2281,-118.4553
241509353,4/21/2024 0:00,4/20/2024 0:00,1700,15,N Hollywood,1596,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3700    BERRY                        DR,,34.1346,-118.3759
241215732,9/29/2024 0:00,9/27/2024 0:00,2200,12,77th Street,1268,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,80TH                         ST,MAIN                         ST,33.967,-118.2739
242110489,7/22/2024 0:00,7/17/2024 0:00,1641,21,Topanga,2187,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0378,0,M,W,406,OTHER STORE,,,AA,Adult Arrest,442,,,,21900    VENTURA                      BL,,34.1685,-118.6038
